Nom;Stand;Description courte;Description longue;Contact;Secteur;Logo
INKAN LINK;1;Protection against deepfake financial fraud.;Mobile app 'Sealfie' ensures transaction security through multi-source attestations.;nicolas.thomas@inkan.link, inkan.link;Deepfake Protection, Blockchain;Inkan-link_logo.PNG
ELHYTE ENERGIES;2;Battery retrofitting for construction equipment.;E-CUBE offers reusable, intelligent batteries for heavy machinery.;v.robin@elhyte-energies.fr, elhyte-energies.com;Construction Equipment, Greentech;Elythe_logo.PNG
BILL UP;3;Mobile app for scanning and paying bills.;Simplifies bill payments using 'Scan-to-Pay' technology.;hello@billup.com, billup.com;Fintech, Payments;Billup.PNG
ALEDIA;4;MicroLEDs for AR/VR displays.;High-performance microLEDs with exceptional brightness and efficiency.;felix.marchal@aledia.com, aledia.com;Display Technology, MicroLEDs;Aledia_logo.png
STEERLIGHT;5;High-precision LiDAR sensors.;Next-gen LiDAR for robotics and autonomous vehicles.;vincent.roger@steerlight.com, steerlight.com;Lidar, Robotics;Steerlight_Logo principal@5000x-100.png
TOPORDER;6;AI-powered SmartPOS solutions.;Comprehensive business management platform with predictive AI for merchants.;mickael.blanchard@toporder.fr, toporder.fr;AI, Foodtech;Toporder_logo.PNG
SPORTYNEO;7;Fintech solutions for the sports industry.;Innovations with societal impact, improving financing for sports organizations.;cyril@sportyneo.com, sportyneo.com;SportsFintech, Payment Solutions;Sportyneo bleu_logo.png
AGIGA;8;Circular economy for electronic components.;Solutions to sell excess inventories and reduce waste.;michel.loriot@agiga.net, agiga.net;Electronics, Circular Economy;AGIGA_logo_600x295.png
AXL TECHNOLOGIES;9;Robotics for construction productivity.;Patented robotic solutions to reduce the hardship of construction work.;olivier@sisyfbots.co, sisyfbots.co;Robotics, Construction;AXL_TECHNOLOGIE_logo.png
PHONIX HEALTH;10;E-health solution addressing screen addiction and mental health.;Hybrid device combining software and hardware to assist patients with sedentary behavior-related issues.;islam.el-boudi@phonixhealth.com, phonixhealth.com;MedicalDevices, MentalHealth, ScreenAddiction;PhonixHealth_nouveau-logo.png
NETRI;11;Mini human organs on chip for predictive clinical and toxicology analysis.;Generates mini human organs on chip for accurate healthcare predictions.;contact@netri.com, netri.com;Healthcare, AI;Netri-logotype_color.png
SKEZI;12;Efficient software for clinical research data collection.;Combines healthcare expertise with academic excellence for better patient data management.;jean-philippe.bertocchio@skezi.eu, skezi.eu;Health, Patient, Research;Skezi-logo.png
NOVOSTABLE;13;AI-powered equine monitoring.;Monitors horses? health in real-time, optimizing care and performance.;julien.cornouiller@novosenso.com, novostable.com;PetTech, Veterinary;Novostable_logo_1200x675_m15_mobile.png
TRACKT00;14;Revolutionizes inventory management with RFID technology.;Combines advanced hardware and an online platform for real-time tracking.;pierre@freshlabsolutions.com, trackt00.com;RFID, InventoryManagement, IoT;Tractoo_logo.PNG
ORIOMA;15;Sustainable energy management for buildings.;Optimizes building energy consumption using IoT and AI.;philippe.ecrement@orioma.com, orioma.com;PropTech, Smart Buildings;Logo ECB x Oriama.png
ADOBIS GROUP;16;Data virtualization solutions.;Holistic data views and AI-driven insights for businesses.;sandra.mathieu@adobisgroup.fr, adobisgroup.fr;Data, AI;Adobis-Group-Grey_logo.PNG
MARYLINK;17;Collaborative AI tools for the workplace.;Enhances team collaboration with AI-powered tools.;herve@marylink.io, marylink.io;Future of Work, Collaboration;Marylink-logo.PNG
ABLATOM;18;Designs advanced chemical analysis equipment based on LIBS.;Automated real-time results with AI-driven measurements, including customizable solutions.;r.chaintreau@ablatom.com, ablatom.com;ElementalAnalysis, LIBS, Materials;Ablatom_logo.png
MATVISIO;19;Workplace posture analysis for healthier environments.;AI-powered tools to promote physical activity and well-being at work.;w.houxplantier@dem-soft.com, matvisio-omnes.com;Health at Work, AI;MATVISIO-NOUVEAU-LOGO-CATALOGUE-omnes_logo_long.png
LIVE VENDOR;20;Boost sales through omnichannel customer interactions.;Enhances customer experience and conversions via seamless video interactions.;elouvet@live-vendor.com, live-vendor.com;Sales, Omnichannel;
ALLERGEN ALERT;21;Food allergen detection made easy.;Portable allergen testing solutions for safe dining experiences.;benedicte@allergen-alert.com, allergen-alert.com;Health, Food Safety;Allergen_alerte_logo
DTF MEDICAL;22;AI for early breast cancer detection.;Innovative breast cancer prevention through advanced bioimpedance technology.;jpmassardier@dtf.fr, dtf.fr;Healthcare, AI;DTF_medical_group_logo
FEST TECHNOLOGY;23;AI-powered event and festival management.;Improves festival organization with data insights and AI tools.;maxime@festapp.io, festapp.io;Event Management, AI;Fest-logo
M&AI;24;Digital twins for product and fluid diagnostics.;Combines mineral profiling with digital twins for diagnostics.;t.tillement@minerals-and-ai.com, minerals-and-ai.com;Digital Twins, Diagnostics;M&ai_wine_logo.PNG
SMARTRIPS;25;Collaborative travel planning platform.;Organizes trips with friends, replacing chaotic messaging threads with streamlined tools.;leo@smartrips.fr, smartrips.fr;IA, App, Travel;Smartrips_logo.PNG
SMART BRAIN;26;AI tools for managers and sales teams.;Improves communication and interpersonal skills using AI.;jean-marie.lenoir@smart-brain.fr, smart-brain.fr;AI;Smart_brain_logotype.png
LACLARêE;27;Adaptive eyeglasses for presbyopia.;Eyewear that adjusts focus dynamically for comfortable vision.;contact@laclaree-vision.com, laclaree-vision.com;Eyewear, Optics;Laclaree-logo.PNG
3DEUS DYNAMICS;28;Specialist in silicone 3D printing with a revolutionary freeform process.;Applies to health (functional twins with outstanding biomimicry) and aeronautics.;julien.barthes@3deusdynamics.com, 3deusdynamics.com;3Dprinting, Silicone, Healthcare, Aerospace;3dd_bleu_logo.png
